nohup: ignoring input
[2026-01-25T09:22:40.581Z] [INFO] [STARTUP] Loaded environment with
[2026-01-25T09:22:40.582Z] [INFO] [STARTUP] PATH includes:
[2026-01-25T09:22:40.583Z] [INFO] [STARTUP] API keys loaded:
[2026-01-25T09:22:40.583Z] [INFO] [STARTUP] Voice App URL: http://localhost:3000
[2026-01-25T09:22:40.592Z] [INFO] ================================================================
[2026-01-25T09:22:40.592Z] [INFO] Gemini HTTP API Server
[2026-01-25T09:22:40.593Z] [INFO] ================================================================
[2026-01-25T09:22:40.593Z] [INFO] 
Listening on: http://0.0.0.0:3333
[2026-01-25T09:22:40.593Z] [INFO] Health check: http://localhost:3333/health
[2026-01-25T09:22:40.593Z] [INFO] 
Ready to receive Gemini queries from voice interface.

[2026-01-25T09:26:14.345Z] [INFO] [2026-01-25T09:26:14.345Z] GET /health
[2026-01-25T09:26:15.246Z] [INFO] [2026-01-25T09:26:15.246Z] GET /logs
[2026-01-25T09:26:15.711Z] [INFO] [2026-01-25T09:26:15.711Z] GET /logs
[2026-01-25T09:26:16.697Z] [INFO] [2026-01-25T09:26:16.697Z] GET /health
[2026-01-25T09:26:17.207Z] [INFO] [2026-01-25T09:26:17.207Z] GET /logs
[2026-01-25T09:26:17.729Z] [INFO] [2026-01-25T09:26:17.729Z] GET /logs
[2026-01-25T09:26:19.214Z] [INFO] [2026-01-25T09:26:19.214Z] GET /logs
[2026-01-25T09:26:19.244Z] [INFO] [2026-01-25T09:26:19.244Z] GET /health
[2026-01-25T09:26:19.784Z] [INFO] [2026-01-25T09:26:19.784Z] GET /logs
[2026-01-25T09:26:21.207Z] [INFO] [2026-01-25T09:26:21.207Z] GET /logs
[2026-01-25T09:26:21.762Z] [INFO] [2026-01-25T09:26:21.762Z] GET /health
[2026-01-25T09:26:21.779Z] [INFO] [2026-01-25T09:26:21.779Z] GET /logs
[2026-01-25T09:26:23.217Z] [INFO] [2026-01-25T09:26:23.217Z] GET /logs
[2026-01-25T09:26:23.824Z] [INFO] [2026-01-25T09:26:23.824Z] GET /logs
[2026-01-25T09:26:24.258Z] [INFO] [2026-01-25T09:26:24.258Z] GET /health
[2026-01-25T09:26:25.207Z] [INFO] [2026-01-25T09:26:25.207Z] GET /logs
[2026-01-25T09:26:25.805Z] [INFO] [2026-01-25T09:26:25.805Z] GET /logs
[2026-01-25T09:26:26.814Z] [INFO] [2026-01-25T09:26:26.814Z] GET /health
[2026-01-25T09:26:27.216Z] [INFO] [2026-01-25T09:26:27.216Z] GET /logs
[2026-01-25T09:26:27.840Z] [INFO] [2026-01-25T09:26:27.840Z] GET /logs
[2026-01-25T09:26:29.208Z] [INFO] [2026-01-25T09:26:29.208Z] GET /logs
[2026-01-25T09:26:29.258Z] [INFO] [2026-01-25T09:26:29.258Z] GET /health
[2026-01-25T09:26:29.846Z] [INFO] [2026-01-25T09:26:29.846Z] GET /logs
[2026-01-25T09:26:31.213Z] [INFO] [2026-01-25T09:26:31.213Z] GET /logs
[2026-01-25T09:26:31.858Z] [INFO] [2026-01-25T09:26:31.858Z] GET /health
[2026-01-25T09:26:31.867Z] [INFO] [2026-01-25T09:26:31.867Z] GET /logs
[2026-01-25T09:26:33.207Z] [INFO] [2026-01-25T09:26:33.207Z] GET /logs
[2026-01-25T09:26:33.884Z] [INFO] [2026-01-25T09:26:33.884Z] GET /logs
[2026-01-25T09:26:34.297Z] [INFO] [2026-01-25T09:26:34.297Z] GET /health
[2026-01-25T09:26:35.214Z] [INFO] [2026-01-25T09:26:35.214Z] GET /logs
[2026-01-25T09:26:35.891Z] [INFO] [2026-01-25T09:26:35.891Z] GET /logs
[2026-01-25T09:26:36.911Z] [INFO] [2026-01-25T09:26:36.911Z] GET /health
[2026-01-25T09:26:37.234Z] [INFO] [2026-01-25T09:26:37.234Z] GET /logs
[2026-01-25T09:26:37.912Z] [INFO] [2026-01-25T09:26:37.912Z] GET /logs
[2026-01-25T09:26:39.213Z] [INFO] [2026-01-25T09:26:39.213Z] GET /logs
[2026-01-25T09:26:39.303Z] [INFO] [2026-01-25T09:26:39.303Z] GET /health
[2026-01-25T09:26:39.973Z] [INFO] [2026-01-25T09:26:39.973Z] GET /logs
[2026-01-25T09:26:41.209Z] [INFO] [2026-01-25T09:26:41.209Z] GET /logs
[2026-01-25T09:26:42.038Z] [INFO] [2026-01-25T09:26:42.038Z] GET /health
[2026-01-25T09:26:42.059Z] [INFO] [2026-01-25T09:26:42.059Z] GET /logs
[2026-01-25T09:26:43.221Z] [INFO] [2026-01-25T09:26:43.220Z] GET /logs
[2026-01-25T09:26:43.989Z] [INFO] [2026-01-25T09:26:43.989Z] GET /logs
[2026-01-25T09:26:44.334Z] [INFO] [2026-01-25T09:26:44.334Z] GET /health
[2026-01-25T09:26:45.215Z] [INFO] [2026-01-25T09:26:45.215Z] GET /logs
[2026-01-25T09:26:46.006Z] [INFO] [2026-01-25T09:26:46.006Z] GET /logs
[2026-01-25T09:26:47.014Z] [INFO] [2026-01-25T09:26:47.014Z] GET /health
[2026-01-25T09:26:47.215Z] [INFO] [2026-01-25T09:26:47.215Z] GET /logs
[2026-01-25T09:26:48.098Z] [INFO] [2026-01-25T09:26:48.098Z] GET /logs
[2026-01-25T09:26:49.219Z] [INFO] [2026-01-25T09:26:49.219Z] GET /logs
[2026-01-25T09:26:49.335Z] [INFO] [2026-01-25T09:26:49.335Z] GET /health
[2026-01-25T09:26:50.116Z] [INFO] [2026-01-25T09:26:50.116Z] GET /logs
[2026-01-25T09:26:51.221Z] [INFO] [2026-01-25T09:26:51.221Z] GET /logs
[2026-01-25T09:26:52.151Z] [INFO] [2026-01-25T09:26:52.151Z] GET /health
[2026-01-25T09:26:52.173Z] [INFO] [2026-01-25T09:26:52.173Z] GET /logs
[2026-01-25T09:26:53.215Z] [INFO] [2026-01-25T09:26:53.215Z] GET /logs
[2026-01-25T09:26:54.222Z] [INFO] [2026-01-25T09:26:54.222Z] GET /logs
[2026-01-25T09:26:54.369Z] [INFO] [2026-01-25T09:26:54.369Z] GET /health
[2026-01-25T09:26:55.214Z] [INFO] [2026-01-25T09:26:55.214Z] GET /logs
[2026-01-25T09:26:56.273Z] [INFO] [2026-01-25T09:26:56.273Z] GET /logs
[2026-01-25T09:26:57.227Z] [INFO] [2026-01-25T09:26:57.227Z] GET /logs
[2026-01-25T09:26:57.339Z] [INFO] [2026-01-25T09:26:57.339Z] GET /health
[2026-01-25T09:26:58.305Z] [INFO] [2026-01-25T09:26:58.305Z] GET /logs
[2026-01-25T09:26:59.220Z] [INFO] [2026-01-25T09:26:59.220Z] GET /logs
[2026-01-25T09:26:59.352Z] [INFO] [2026-01-25T09:26:59.351Z] GET /health
[2026-01-25T09:27:00.361Z] [INFO] [2026-01-25T09:27:00.361Z] GET /logs
[2026-01-25T09:27:01.226Z] [INFO] [2026-01-25T09:27:01.226Z] GET /logs
[2026-01-25T09:27:02.437Z] [INFO] [2026-01-25T09:27:02.437Z] GET /logs
[2026-01-25T09:27:02.475Z] [INFO] [2026-01-25T09:27:02.475Z] GET /health
[2026-01-25T09:27:03.223Z] [INFO] [2026-01-25T09:27:03.223Z] GET /logs
[2026-01-25T09:27:04.361Z] [INFO] [2026-01-25T09:27:04.361Z] GET /health
[2026-01-25T09:27:04.494Z] [INFO] [2026-01-25T09:27:04.494Z] GET /logs
[2026-01-25T09:27:05.249Z] [INFO] [2026-01-25T09:27:05.249Z] GET /logs
[2026-01-25T09:27:06.522Z] [INFO] [2026-01-25T09:27:06.522Z] GET /logs
[2026-01-25T09:27:07.228Z] [INFO] [2026-01-25T09:27:07.228Z] GET /logs
[2026-01-25T09:27:07.519Z] [INFO] [2026-01-25T09:27:07.519Z] GET /health
[2026-01-25T09:27:08.555Z] [INFO] [2026-01-25T09:27:08.555Z] GET /logs
[2026-01-25T09:27:09.233Z] [INFO] [2026-01-25T09:27:09.233Z] GET /logs
[2026-01-25T09:27:09.356Z] [INFO] [2026-01-25T09:27:09.355Z] GET /health
[2026-01-25T09:27:10.587Z] [INFO] [2026-01-25T09:27:10.587Z] GET /logs
[2026-01-25T09:27:11.229Z] [INFO] [2026-01-25T09:27:11.229Z] GET /logs
[2026-01-25T09:27:12.619Z] [INFO] [2026-01-25T09:27:12.619Z] GET /health
[2026-01-25T09:27:12.647Z] [INFO] [2026-01-25T09:27:12.647Z] GET /logs
[2026-01-25T09:27:13.230Z] [INFO] [2026-01-25T09:27:13.230Z] GET /logs
[2026-01-25T09:27:14.382Z] [INFO] [2026-01-25T09:27:14.382Z] GET /health
[2026-01-25T09:27:14.632Z] [INFO] [2026-01-25T09:27:14.632Z] GET /logs
[2026-01-25T09:27:15.228Z] [INFO] [2026-01-25T09:27:15.228Z] GET /logs
[2026-01-25T09:27:16.648Z] [INFO] [2026-01-25T09:27:16.648Z] GET /logs
[2026-01-25T09:27:17.226Z] [INFO] [2026-01-25T09:27:17.226Z] GET /logs
[2026-01-25T09:27:17.654Z] [INFO] [2026-01-25T09:27:17.654Z] GET /health
[2026-01-25T09:27:18.714Z] [INFO] [2026-01-25T09:27:18.714Z] GET /logs
[2026-01-25T09:27:19.363Z] [INFO] [2026-01-25T09:27:19.362Z] GET /logs
[2026-01-25T09:27:19.394Z] [INFO] [2026-01-25T09:27:19.394Z] GET /health
[2026-01-25T09:27:20.823Z] [INFO] [2026-01-25T09:27:20.823Z] GET /logs
[2026-01-25T09:27:21.233Z] [INFO] [2026-01-25T09:27:21.233Z] GET /logs
